codCliente,codPoliza,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
138290,135882,Salud,Vida,1,0,0,0,0,0
138291,136072,Patrimoniales,Vida,0,0,0,0,1,0
138293,135885,Vida,Patrimoniales,0,1,0,0,0,0
138300,136044,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138346,135973,Patrimoniales,Autos,0,0,0,0,1,0
138350,135977,Salud,Autos,1,0,0,0,0,0
138400,135988,Autos,Salud,0,0,1,0,0,0
138409,136050,Patrimoniales,Autos,0,0,0,0,1,0
138413,136134,Salud,Autos,1,0,0,0,0,0
138414,136168,Patrimoniales,Autos,0,0,0,0,1,0
138418,136035,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138423,136034,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138425,136039,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138454,139195,Autos,Salud,0,0,1,0,0,0
138472,136114,Vida,Autos,0,1,0,0,0,0
138473,136247,Autos,Vida,0,0,1,0,0,0
138782,136283,Patrimoniales,Autos,0,0,0,0,1,0
138783,137165,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138785,136585,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138787,136538,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138788,136544,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138789,137397,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138790,136535,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138791,136539,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138795,137370,Cumplimiento,Autos,0,0,0,1,0,0
138799,137145,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138799,138832,Patrimoniales,Autos,0,0,0,1,1,0
138799,136383,Autos,Vida,0,0,1,1,1,0
138799,139031,Vida,Salud,0,1,1,1,1,0
138799,138934,Salud,Otros,1,1,1,1,1,0
138806,136349,Autos,Salud,0,0,1,0,0,0
138808,136388,Autos,Vida,0,0,1,0,0,0
138811,138733,Vida,Salud,0,1,0,0,0,0
138813,136360,Autos,Salud,0,0,1,0,0,0
138822,136371,Autos,Patrimoniales,0,0,1,0,0,0
138822,173331,Patrimoniales,Salud,0,0,1,0,1,0
