codCliente,codPoliza,Edad,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
112409,97751,34,Autos,Salud,0,0,1,0,0,0
112409,98350,34,Salud,Vida,1,0,1,0,0,0
112413,158472,0,Autos,Salud,0,0,1,0,0,0
112413,98276,0,Salud,Vida,1,0,1,0,0,0
112422,98616,34,Vida,Salud,0,1,0,0,0,0
112422,98268,34,Salud,Autos,1,1,0,0,0,0
112546,207934,38,Patrimoniales,Autos,0,0,0,0,1,0
112568,98580,37,Vida,Autos,0,1,0,0,0,0
112569,98199,0,Salud,Autos,1,0,0,0,0,0
112569,158471,0,Autos,Vida,1,0,1,0,0,0
112572,184025,37,Vida,Salud,0,1,0,0,0,0
112576,98258,36,Salud,Patrimoniales,1,0,0,0,0,0
112583,98524,36,Vida,Salud,0,1,0,0,0,0
112583,98223,36,Salud,Patrimoniales,1,1,0,0,0,0
112607,98220,34,Salud,Vida,1,0,0,0,0,0
112655,98334,35,Salud,Vida,1,0,0,0,0,0
112661,98293,34,Salud,Vida,1,0,0,0,0,0
112664,97894,34,Autos,Patrimoniales,0,0,1,0,0,0
112664,98066,34,Patrimoniales,Vida,0,0,1,0,1,0
112681,98260,35,Salud,Patrimoniales,1,0,0,0,0,0
112689,98489,31,Vida,Salud,0,1,0,0,0,0
112696,158466,0,Autos,Vida,0,0,1,0,0,0
112696,173030,0,Vida,Salud,0,1,1,0,0,0
112722,98264,31,Salud,Vida,1,0,0,0,0,0
112750,98244,40,Salud,Vida,1,0,0,0,0,0
112770,98496,50,Vida,Autos,0,1,0,0,0,0
112794,164666,0,Patrimoniales,Salud,0,0,0,0,1,0
112828,98016,75,Patrimoniales,Salud,0,0,0,0,1,0
112864,141786,74,Autos,Salud,0,0,1,0,0,0
112872,98604,44,Vida,Autos,0,1,0,0,0,0
112875,98166,44,Salud,Autos,1,0,0,0,0,0
112908,158463,60,Autos,Patrimoniales,0,0,1,0,0,0
112922,98620,57,Vida,Autos,0,1,0,0,0,0
112927,98498,0,Vida,Autos,0,1,0,0,0,0
112934,139540,63,Autos,Salud,0,0,1,0,0,0
112942,98395,59,Salud,Patrimoniales,1,0,0,0,0,0
112967,98684,46,Vida,Salud,0,1,0,0,0,0
112969,98160,46,Patrimoniales,Vida,0,0,0,0,1,0
112969,98403,46,Vida,Salud,0,1,0,0,1,0
112986,98189,45,Salud,Autos,1,0,0,0,0,0
113048,98517,48,Vida,Salud,0,1,0,0,0,0
113061,101022,53,Autos,Vida,0,0,1,0,0,0
113099,97892,40,Autos,Salud,0,0,1,0,0,0
113108,98685,50,Vida,Autos,0,1,0,0,0,0
113162,98044,68,Patrimoniales,Autos,0,0,0,0,1,0
113177,98380,0,Vida,Salud,0,1,0,0,0,0
113177,98167,0,Salud,Patrimoniales,1,1,0,0,0,0
113187,158486,0,Autos,Vida,0,0,1,0,0,0
113216,98414,42,Vida,Patrimoniales,0,1,0,0,0,0
113241,97742,63,Autos,Patrimoniales,0,0,1,0,0,0
113241,98085,63,Patrimoniales,Salud,0,0,1,0,1,0
113241,98309,63,Salud,Vida,1,0,1,0,1,0
113260,97794,56,Autos,Vida,0,0,1,0,0,0
113278,176367,47,Autos,Vida,0,0,1,0,0,0
113294,98493,54,Vida,Autos,0,1,0,0,0,0
113299,176106,41,Autos,Vida,0,0,1,0,0,0
113307,98448,53,Vida,Patrimoniales,0,1,0,0,0,0
113319,98436,40,Vida,Salud,0,1,0,0,0,0
113347,169363,79,Autos,Salud,0,0,1,0,0,0
113353,98393,41,Vida,Salud,0,1,0,0,0,0
113355,98082,71,Patrimoniales,Vida,0,0,0,0,1,0
113369,97810,61,Autos,Patrimoniales,0,0,1,0,0,0
113382,98613,58,Vida,Salud,0,1,0,0,0,0
113603,97593,0,Vida,Autos,0,1,0,0,0,0
113790,98985,52,Cumplimiento,Patrimoniales,0,0,0,1,0,0
113813,188243,0,Patrimoniales,Cumplimiento,0,0,0,0,1,0
113898,99481,45,Vida,Salud,0,1,0,0,0,0
113898,99257,45,Salud,Autos,1,1,0,0,0,0
113910,99564,36,Vida,Autos,0,1,0,0,0,0
113910,99268,36,Autos,Salud,0,1,1,0,0,0
113915,99307,0,Salud,Patrimoniales,1,0,0,0,0,0
113928,99350,35,Vida,Autos,0,1,0,0,0,0
113928,99533,35,Autos,Patrimoniales,0,1,1,0,0,0
